编号,色名,HEX,H,S,L,色相分类,冷暖属性,同类色,邻近色,互补色,分裂互补,三角色,四角色,冷暖对照,明色搭配,暗色搭配,灰调搭配,中性色搭配,主色,辅色,点缀色,主辅点缀方案,算法说明
001,乳白,#F9F4DC,50,71,92,黄色系,暖,053-蚌肉白 #F9F1DB | 098-粉白 #FBF2E3 | 099-落英淡粉 #F9E8D0,184-初桃粉红 #F6DCCE | 185-介壳淡粉红 #F7CFBA | 171-藕荷 #EDC3AE | 497-嫩菊绿 #F0F5E5,691-云峰灰 #C1C8D6 | 353-淡蓝紫 #A7A8BD | 576-绀青 #4F84FF,588-雾绡 #CDE8F9 | 597-霜华 #D0E7F9 | 602-霜色 #E8F4F8 | 368-远天蓝 #D0DFE6,600-天水碧 #AED9D4 | 680-凝脂莲青 #C6E3E1 | 313-淡牵牛紫 #D1C2D3 | 546-月华 #E0FFFF,705-松花绿 #A0D6B4 | 424-月白 #EEF7F2 | 540-梅子青 #7BC092 | 610-藕丝 #D8B0C8,597-霜华 #D0E7F9 | 588-雾绡 #CDE8F9 | 602-霜色 #E8F4F8,053-蚌肉白 #F9F1DB | 682-奶油白 #FFF8E7 | 098-粉白 #FBF2E3,038-芒果黄 #DDC871 | 039-蒿黄 #DFC243 | 003-茉莉黄 #F8DF72,350-银白 #F1F0ED | 519-珍珠灰 #E4DFD7 | 707-白色 #F8F8F8,350-银白 #F1F0ED | 550-霜白 #F2F3F4 | 351-芡食白 #E2E1E4,001-乳白 #F9F4DC,053-蚌肉白 #F9F1DB | 098-粉白 #FBF2E3,576-绀青 #4F84FF | 597-霜华 #D0E7F9,主色：001-乳白 #F9F4DC；辅色：053-蚌肉白 #F9F1DB | 098-粉白 #FBF2E3；点缀色：576-绀青 #4F84FF | 597-霜华 #D0E7F9,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
511,蝶黄,#E2D849,56,73,59,黄色系,暖,035-秋葵黄 #EED045 | 039-蒿黄 #DFC243 | 739-鸦黄 #E6C24D,138-鹿皮褐 #D99156 | 726-莺儿 #A8D865 | 139-醉瓜肉 #DB8540 | 136-鲑鱼红 #F09C5A,354-山梗紫 #61649F | 353-淡蓝紫 #A7A8BD | 355-螺甸紫 #74759B,634-长春花蓝 #7EC0EE | 592-瑶碧 #4B9CD3 | 370-羽扇豆蓝 #619AC3 | 373-虹蓝 #2177B8,431-石绿 #57C3C2 | 434-美蝶绿 #12AA9C | 527-蓝翠竹 #4B8F8C | 680-凝脂莲青 #C6E3E1,435-毛绿 #66C18C | 436-蔻梢绿 #5DBE8A | 537-翠微 #3CB371 | 482-孔雀绿 #229453,625-蓝色 #4A8DDA | 379-霁青 #63BBD0 | 427-瀑布蓝 #51C4D3,002-杏仁黄 #F7E8AA | 001-乳白 #F9F4DC | 611-奶黄色 #F9E4A5,048-碧螺春绿 #867018 | 047-苔绿 #887322 | 069-枯绿 #B78D12,522-中灰 #A49C93 | 068-尘灰 #B6A476 | 465-镍灰 #9FA39A,522-中灰 #A49C93 | 466-明灰 #8A988E | 528-云青灰 #8A9A9C,511-蝶黄 #E2D849,039-蒿黄 #DFC243 | 739-鸦黄 #E6C24D,625-蓝色 #4A8DDA | 354-山梗紫 #61649F,主色：511-蝶黄 #E2D849；辅色：039-蒿黄 #DFC243 | 739-鸦黄 #E6C24D；点缀色：625-蓝色 #4A8DDA | 354-山梗紫 #61649F,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
512,橄榄黄绿,#BEC936,64,58,50,黄色系,暖,511-蝶黄 #E2D849 | 042-草黄 #D2B42C | 509-苹果绿 #BACF65,652-官绿 #7AA35A | 108-风帆黄 #DC9123 | 106-玳瑁黄 #DAA45A | 107-软木黄 #DE9E44,357-野菊紫 #525288 | 354-山梗紫 #61649F | 355-螺甸紫 #74759B,711-湘蓝 #4A76A8 | 625-蓝色 #4A8DDA | 567-霜蓝 #4A6FA6 | 719-蓼蓝青 #2E5A88,428-蔚蓝 #29B7CB | 427-瀑布蓝 #51C4D3 | 617-青组缨 #3B7C7F | 431-石绿 #57C3C2,438-蛙绿 #45B787 | 311-丹紫红 #D2568C | 740-翠青 #2AAE6F | 437-麦苗绿 #55BB8A,354-山梗紫 #61649F | 539-青霜 #4682B4 | 428-蔚蓝 #29B7CB,508-槐花黄绿 #D2D97A | 577-柳黄 #C9E079 | 503-海沬绿 #E2E7BF,051-潭水绿 #645822 | 052-橄榄绿 #5E5314 | 047-苔绿 #887322,523-瓦灰 #867E76 | 524-夜灰 #847C74 | 110-猴毛灰 #97846C,489-瓦松绿 #6E8B74 | 144-银灰 #918072 | 467-淡绿灰 #70887D,512-橄榄黄绿 #BEC936,042-草黄 #D2B42C | 509-苹果绿 #BACF65,625-蓝色 #4A8DDA | 567-霜蓝 #4A6FA6,主色：512-橄榄黄绿 #BEC936；辅色：042-草黄 #D2B42C | 509-苹果绿 #BACF65；点缀色：625-蓝色 #4A8DDA | 567-霜蓝 #4A6FA6,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
513,鹦鹉绿,#5BAE23,96,67,41,绿色系,冷,532-綟绶 #6B8E23 | 510-芽绿 #96C24E | 726-莺儿 #A8D865,512-橄榄黄绿 #BEC936 | 500-玉髓绿 #41B349 | 729-汉绣绿 #2E7D32 | 501-鲜绿 #43B244,535-暮山紫 #6E4D7E | 538-紫云 #A020F0 | 620-黛紫 #5D3A6F,321-魏紫 #7E1671 | 365-暗蓝紫 #131124 | 357-野菊紫 #525288 | 339-芥花紫 #983680,288-菜头紫 #951C48 | 567-霜蓝 #4A6FA6 | 657-宝蓝 #1A3E72 | 299-菠根红 #D13C74,443-翠蓝 #1E9EB3 | 428-蔚蓝 #29B7CB | 430-甸子蓝 #10AEC2 | 232-鹅血石红 #AB372F,725-猩红 #BC1E46 | 088-山鸡黄 #B78B26 | 288-菜头紫 #951C48,506-水绿 #8CC269 | 726-莺儿 #A8D865 | 718-荠麦绿 #8DB67A,568-松墨 #2E4B26 | 514-油绿 #253D24 | 494-蒽油绿 #373834,491-田螺绿 #5E665B | 469-狼烟灰 #5D655F | 652-官绿 #7AA35A,453-夏云灰 #617172 | 491-田螺绿 #5E665B | 469-狼烟灰 #5D655F,513-鹦鹉绿 #5BAE23,532-綟绶 #6B8E23 | 500-玉髓绿 #41B349,538-紫云 #A020F0 | 620-黛紫 #5D3A6F,主色：513-鹦鹉绿 #5BAE23；辅色：532-綟绶 #6B8E23 | 500-玉髓绿 #41B349；点缀色：538-紫云 #A020F0 | 620-黛紫 #5D3A6F,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
514,油绿,#253D24,118,26,19,绿色系,冷,568-松墨 #2E4B26 | 681-焦绿 #3B5F3A | 559-柳苍 #3E6A3D,708-马尔斯绿 #3A5F4B | 593-墨玉 #2E4B3A | 496-云杉绿 #15231B | 605-黛绿 #3B7A57,534-烟紫 #704A70 | 320-桔梗紫 #813C85 | 348-乌梅紫 #1E131D,347-古鼎灰 #36292F | 345-龙睛鱼紫 #4E2A40 | 333-斑鸠灰 #482936 | 658-帝王紫 #7B3F61,364-晶石紫 #1F2040 | 234-貂紫 #5D3131 | 235-暗玉紫 #5C2223 | 236-栗紫 #5A191B,093-松鼠灰 #4F4032 | 648-缁絇繶纯 #2E2014 | 112-驼色 #66462A | 113-茶褐 #5D3D21,347-古鼎灰 #36292F | 291-磨石紫 #382129 | 333-斑鸠灰 #482936,559-柳苍 #3E6A3D | 681-焦绿 #3B5F3A | 502-宝石绿 #41AE3C,555-玄黑 #0E100F | 529-黑 #000000 | 349-深牵牛紫 #1C0D1A,495-槲寄生绿 #2B312C | 494-蒽油绿 #373834 | 474-苷蓝绿 #1F2623,495-槲寄生绿 #2B312C | 548-墨韵黑 #2E2E2E | 405-牛角灰 #2D2E36,514-油绿 #253D24,593-墨玉 #2E4B3A | 568-松墨 #2E4B26,320-桔梗紫 #813C85 | 534-烟紫 #704A70,主色：514-油绿 #253D24；辅色：593-墨玉 #2E4B3A | 568-松墨 #2E4B26；点缀色：320-桔梗紫 #813C85 | 534-烟紫 #704A70,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
515,象牙白,#FFFEF8,51,100,99,黄色系,暖,517-雪白 #FFFEF9 | 394-海参灰 #FFFEFA | 682-奶油白 #FFF8E7,184-初桃粉红 #F6DCCE | 185-介壳淡粉红 #F7CFBA | 497-嫩菊绿 #F0F5E5 | 119-润红 #F7CDBC,609-东方既白 #E6F2FF | 576-绀青 #4F84FF | 700-玉色 #F0F8FF,700-玉色 #F0F8FF | 588-雾绡 #CDE8F9 | 677-浅紫藤萝 #D1B3FF | 597-霜华 #D0E7F9,546-月华 #E0FFFF | 600-天水碧 #AED9D4 | 680-凝脂莲青 #C6E3E1 | 313-淡牵牛紫 #D1C2D3,424-月白 #EEF7F2 | 705-松花绿 #A0D6B4 | 610-藕丝 #D8B0C8 | 432-竹篁绿 #B9DEC9,700-玉色 #F0F8FF | 609-东方既白 #E6F2FF | 546-月华 #E0FFFF,517-雪白 #FFFEF9 | 394-海参灰 #FFFEFA | 671-棉花糖白 #FFF8F0,003-茉莉黄 #F8DF72 | 004-麦秆黄 #F8DF70 | 055-淡茧黄 #F9D770,350-银白 #F1F0ED | 707-白色 #F8F8F8 | 519-珍珠灰 #E4DFD7,707-白色 #F8F8F8 | 550-霜白 #F2F3F4 | 350-银白 #F1F0ED,515-象牙白 #FFFEF8,517-雪白 #FFFEF9 | 394-海参灰 #FFFEFA,576-绀青 #4F84FF | 609-东方既白 #E6F2FF,主色：515-象牙白 #FFFEF8；辅色：517-雪白 #FFFEF9 | 394-海参灰 #FFFEFA；点缀色：576-绀青 #4F84FF | 609-东方既白 #E6F2FF,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
516,汉白玉,#F8F4ED,38,44,95,橙色系,暖,518-鱼肚白 #F7F4ED | 716-米白 #F5F0E6 | 717-梨花白 #F8F5F0,334-淡藤萝紫 #F2E7E5 | 503-海沬绿 #E2E7BF | 205-粉红 #F2B9B2 | 715-浅杏粉 #F5E6E0,584-月魄 #E0E7EF | 691-云峰灰 #C1C8D6 | 651-浅灰蓝 #C2D1E0,425-海天蓝 #C6E6E8 | 602-霜色 #E8F4F8 | 411-鸥蓝 #C7D2D4 | 536-月白天青 #C6D7DB,679-白雪藤 #E8F4F0 | 630-竹月 #BCE5D6 | 667-浅薄荷绿 #B2F0D9 | 424-月白 #EEF7F2,476-淡翠绿 #C6DFC8 | 584-月魄 #E0E7EF | 691-云峰灰 #C1C8D6 | 574-缥缃 #A4C2A8,602-霜色 #E8F4F8 | 584-月魄 #E0E7EF | 679-白雪藤 #E8F4F0,518-鱼肚白 #F7F4ED | 717-梨花白 #F8F5F0 | 733-荼蘼白 #F8F4F0,543-浅褐色 #D2B48C | 632-荞麦 #D2B89A | 083-浅驼色 #E2C17C,350-银白 #F1F0ED | 707-白色 #F8F8F8 | 519-珍珠灰 #E4DFD7,550-霜白 #F2F3F4 | 350-银白 #F1F0ED | 707-白色 #F8F8F8,516-汉白玉 #F8F4ED,716-米白 #F5F0E6 | 518-鱼肚白 #F7F4ED,651-浅灰蓝 #C2D1E0 | 584-月魄 #E0E7EF,主色：516-汉白玉 #F8F4ED；辅色：716-米白 #F5F0E6 | 518-鱼肚白 #F7F4ED；点缀色：651-浅灰蓝 #C2D1E0 | 584-月魄 #E0E7EF,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
517,雪白,#FFFEF9,50,100,99,黄色系,暖,515-象牙白 #FFFEF8 | 394-海参灰 #FFFEFA | 682-奶油白 #FFF8E7,184-初桃粉红 #F6DCCE | 185-介壳淡粉红 #F7CFBA | 497-嫩菊绿 #F0F5E5 | 119-润红 #F7CDBC,609-东方既白 #E6F2FF | 576-绀青 #4F84FF | 700-玉色 #F0F8FF,700-玉色 #F0F8FF | 588-雾绡 #CDE8F9 | 677-浅紫藤萝 #D1B3FF | 597-霜华 #D0E7F9,546-月华 #E0FFFF | 600-天水碧 #AED9D4 | 680-凝脂莲青 #C6E3E1 | 679-白雪藤 #E8F4F0,424-月白 #EEF7F2 | 705-松花绿 #A0D6B4 | 610-藕丝 #D8B0C8 | 540-梅子青 #7BC092,700-玉色 #F0F8FF | 609-东方既白 #E6F2FF | 546-月华 #E0FFFF,515-象牙白 #FFFEF8 | 394-海参灰 #FFFEFA | 717-梨花白 #F8F5F0,003-茉莉黄 #F8DF72 | 004-麦秆黄 #F8DF70 | 055-淡茧黄 #F9D770,350-银白 #F1F0ED | 707-白色 #F8F8F8 | 519-珍珠灰 #E4DFD7,707-白色 #F8F8F8 | 550-霜白 #F2F3F4 | 350-银白 #F1F0ED,517-雪白 #FFFEF9,515-象牙白 #FFFEF8 | 394-海参灰 #FFFEFA,576-绀青 #4F84FF | 609-东方既白 #E6F2FF,主色：517-雪白 #FFFEF9；辅色：515-象牙白 #FFFEF8 | 394-海参灰 #FFFEFA；点缀色：576-绀青 #4F84FF | 609-东方既白 #E6F2FF,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
518,鱼肚白,#F7F4ED,42,38,95,橙色系,暖,637-纯衣 #F5F3E9 | 717-梨花白 #F8F5F0 | 516-汉白玉 #F8F4ED,334-淡藤萝紫 #F2E7E5 | 715-浅杏粉 #F5E6E0 | 258-草珠红 #F8EBE6 | 497-嫩菊绿 #F0F5E5,691-云峰灰 #C1C8D6 | 584-月魄 #E0E7EF | 651-浅灰蓝 #C2D1E0,602-霜色 #E8F4F8 | 374-湖水蓝 #B0D5DF | 536-月白天青 #C6D7DB | 407-云峰白 #D8E3E7,679-白雪藤 #E8F4F0 | 630-竹月 #BCE5D6 | 667-浅薄荷绿 #B2F0D9 | 572-霜青 #7CB9A8,691-云峰灰 #C1C8D6 | 476-淡翠绿 #C6DFC8 | 584-月魄 #E0E7EF | 314-凤信紫 #C8ADC4,584-月魄 #E0E7EF | 602-霜色 #E8F4F8 | 679-白雪藤 #E8F4F0,516-汉白玉 #F8F4ED | 717-梨花白 #F8F5F0 | 733-荼蘼白 #F8F4F0,632-荞麦 #D2B89A | 063-莲子白 #E5D3AA | 083-浅驼色 #E2C17C,350-银白 #F1F0ED | 707-白色 #F8F8F8 | 519-珍珠灰 #E4DFD7,550-霜白 #F2F3F4 | 350-银白 #F1F0ED | 707-白色 #F8F8F8,518-鱼肚白 #F7F4ED,637-纯衣 #F5F3E9 | 717-梨花白 #F8F5F0,374-湖水蓝 #B0D5DF | 651-浅灰蓝 #C2D1E0,主色：518-鱼肚白 #F7F4ED；辅色：637-纯衣 #F5F3E9 | 717-梨花白 #F8F5F0；点缀色：374-湖水蓝 #B0D5DF | 651-浅灰蓝 #C2D1E0,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
519,珍珠灰,#E4DFD7,37,19,87,橙色系,暖,520-浅灰 #DAD4CB | 350-银白 #F1F0ED | 643-素衣 #F2F0E6,334-淡藤萝紫 #F2E7E5 | 503-海沬绿 #E2E7BF | 328-芦穗灰 #BDAEAD | 205-粉红 #F2B9B2,691-云峰灰 #C1C8D6 | 584-月魄 #E0E7EF | 651-浅灰蓝 #C2D1E0,411-鸥蓝 #C7D2D4 | 536-月白天青 #C6D7DB | 425-海天蓝 #C6E6E8 | 446-闪蓝 #7CABB1,630-竹月 #BCE5D6 | 721-藕荷色 #B5A0C2 | 679-白雪藤 #E8F4F0 | 460-草原远绿 #9ABEAF,476-淡翠绿 #C6DFC8 | 691-云峰灰 #C1C8D6 | 574-缥缃 #A4C2A8 | 314-凤信紫 #C8ADC4,584-月魄 #E0E7EF | 368-远天蓝 #D0DFE6 | 407-云峰白 #D8E3E7,394-海参灰 #FFFEFA | 517-雪白 #FFFEF9 | 515-象牙白 #FFFEF8,722-杏子阴 #B8A996 | 087-百灵鸟灰 #B4A992 | 067-银鼠灰 #B5AA90,356-玛瑙灰 #CFCCC9 | 350-银白 #F1F0ED | 707-白色 #F8F8F8,351-芡食白 #E2E1E4 | 390-银鱼白 #CDD1D3 | 352-远山紫 #CCCCD6,519-珍珠灰 #E4DFD7,520-浅灰 #DAD4CB | 351-芡食白 #E2E1E4,651-浅灰蓝 #C2D1E0 | 584-月魄 #E0E7EF,主色：519-珍珠灰 #E4DFD7；辅色：520-浅灰 #DAD4CB | 351-芡食白 #E2E1E4；点缀色：651-浅灰蓝 #C2D1E0 | 584-月魄 #E0E7EF,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
520,浅灰,#DAD4CB,36,17,83,橙色系,暖,519-珍珠灰 #E4DFD7 | 644-素积 #D2C8BC | 646-素鞸 #D6C9B8,328-芦穗灰 #BDAEAD | 503-海沬绿 #E2E7BF | 334-淡藤萝紫 #F2E7E5 | 655-暖灰 #B7A8A5,691-云峰灰 #C1C8D6 | 584-月魄 #E0E7EF | 651-浅灰蓝 #C2D1E0,411-鸥蓝 #C7D2D4 | 425-海天蓝 #C6E6E8 | 536-月白天青 #C6D7DB | 426-清水蓝 #93D5DC,721-藕荷色 #B5A0C2 | 460-草原远绿 #9ABEAF | 630-竹月 #BCE5D6 | 462-浪花绿 #92B3A5,476-淡翠绿 #C6DFC8 | 691-云峰灰 #C1C8D6 | 574-缥缃 #A4C2A8 | 314-凤信紫 #C8ADC4,651-浅灰蓝 #C2D1E0 | 408-井天蓝 #C3D7DF | 691-云峰灰 #C1C8D6,717-梨花白 #F8F5F0 | 516-汉白玉 #F8F4ED | 733-荼蘼白 #F8F4F0,722-杏子阴 #B8A996 | 522-中灰 #A49C93 | 087-百灵鸟灰 #B4A992,356-玛瑙灰 #CFCCC9 | 521-铅灰 #BBB5AC | 350-银白 #F1F0ED,390-银鱼白 #CDD1D3 | 352-远山紫 #CCCCD6 | 411-鸥蓝 #C7D2D4,520-浅灰 #DAD4CB,519-珍珠灰 #E4DFD7 | 411-鸥蓝 #C7D2D4,651-浅灰蓝 #C2D1E0 | 426-清水蓝 #93D5DC,主色：520-浅灰 #DAD4CB；辅色：519-珍珠灰 #E4DFD7 | 411-鸥蓝 #C7D2D4；点缀色：651-浅灰蓝 #C2D1E0 | 426-清水蓝 #93D5DC,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
521,铅灰,#BBB5AC,36,10,70,中性色,中性,328-芦穗灰 #BDAEAD | 655-暖灰 #B7A8A5 | 414-星灰 #B2BBBE,328-芦穗灰 #BDAEAD | 655-暖灰 #B7A8A5 | 414-星灰 #B2BBBE,691-云峰灰 #C1C8D6 | 567-霜蓝 #4A6FA6 | 544-烟青 #708090,528-云青灰 #8A9A9C | 666-雾霾蓝 #7BA0A5 | 411-鸥蓝 #C7D2D4 | 446-闪蓝 #7CABB1,721-藕荷色 #B5A0C2 | 460-草原远绿 #9ABEAF | 462-浪花绿 #92B3A5 | 433-粉绿 #83CBAC,574-缥缃 #A4C2A8 | 314-凤信紫 #C8ADC4 | 476-淡翠绿 #C6DFC8 | 691-云峰灰 #C1C8D6,633-茶粉绿 #B8C7A0 | 683-浅豆绿 #B2C8A0 | 574-缥缃 #A4C2A8,519-珍珠灰 #E4DFD7 | 520-浅灰 #DAD4CB | 350-银白 #F1F0ED,110-猴毛灰 #97846C | 526-深灰 #81776E | 523-瓦灰 #867E76,655-暖灰 #B7A8A5 | 328-芦穗灰 #BDAEAD | 522-中灰 #A49C93,328-芦穗灰 #BDAEAD | 655-暖灰 #B7A8A5 | 414-星灰 #B2BBBE,521-铅灰 #BBB5AC,328-芦穗灰 #BDAEAD | 655-暖灰 #B7A8A5,567-霜蓝 #4A6FA6 | 544-烟青 #708090,主色：521-铅灰 #BBB5AC；辅色：328-芦穗灰 #BDAEAD | 655-暖灰 #B7A8A5；点缀色：567-霜蓝 #4A6FA6 | 544-烟青 #708090,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
522,中灰,#A49C93,32,9,61,中性色,中性,465-镍灰 #9FA39A | 655-暖灰 #B7A8A5 | 447-冰山蓝 #A4ACA7,465-镍灰 #9FA39A | 655-暖灰 #B7A8A5 | 447-冰山蓝 #A4ACA7,544-烟青 #708090 | 599-天青 #6C9BCA | 711-湘蓝 #4A76A8,448-虾壳青 #869D9D | 528-云青灰 #8A9A9C | 453-夏云灰 #617172 | 666-雾霾蓝 #7BA0A5,467-淡绿灰 #70887D | 462-浪花绿 #92B3A5 | 460-草原远绿 #9ABEAF | 433-粉绿 #83CBAC,544-烟青 #708090 | 531-山岚 #B2C9B2 | 668-丁香紫 #C8A2C8 | 692-檀香紫 #8A6E8B,192-淡玫瑰灰 #B89485 | 572-霜青 #7CB9A8 | 662-烟蓝 #7BA4B8,356-玛瑙灰 #CFCCC9 | 520-浅灰 #DAD4CB | 644-素积 #D2C8BC,673-复方甘草 #8B6E4F | 526-深灰 #81776E | 523-瓦灰 #867E76,521-铅灰 #BBB5AC | 465-镍灰 #9FA39A | 706-灰色 #8A8A8A,465-镍灰 #9FA39A | 690-高级灰 #9C9CA4 | 528-云青灰 #8A9A9C,522-中灰 #A49C93,465-镍灰 #9FA39A | 528-云青灰 #8A9A9C,599-天青 #6C9BCA | 711-湘蓝 #4A76A8,主色：522-中灰 #A49C93；辅色：465-镍灰 #9FA39A | 528-云青灰 #8A9A9C；点缀色：599-天青 #6C9BCA | 711-湘蓝 #4A76A8,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
523,瓦灰,#867E76,30,6,49,中性色,中性,524-夜灰 #847C74 | 526-深灰 #81776E | 525-雁灰 #80766E,524-夜灰 #847C74 | 526-深灰 #81776E | 525-雁灰 #80766E,544-烟青 #708090 | 565-绀碧 #4B6C8C | 711-湘蓝 #4A76A8,448-虾壳青 #869D9D | 355-螺甸紫 #74759B | 357-野菊紫 #525288 | 453-夏云灰 #617172,467-淡绿灰 #70887D | 480-淡绿 #61AC85 | 481-葱绿 #40A070 | 478-田园绿 #68B88E,544-烟青 #708090 | 692-檀香紫 #8A6E8B | 565-绀碧 #4B6C8C | 534-烟紫 #704A70,243-满江红 #A7535A | 338-扁豆紫 #A35C8F | 558-烟褐 #8B6D5C,141-淡银灰 #C1B2A3 | 356-玛瑙灰 #CFCCC9 | 521-铅灰 #BBB5AC,073-鹤灰 #4A4035 | 093-松鼠灰 #4F4032 | 074-淡松烟 #4D4030,524-夜灰 #847C74 | 526-深灰 #81776E | 525-雁灰 #80766E,524-夜灰 #847C74 | 526-深灰 #81776E | 525-雁灰 #80766E,523-瓦灰 #867E76,524-夜灰 #847C74 | 526-深灰 #81776E,711-湘蓝 #4A76A8 | 565-绀碧 #4B6C8C,主色：523-瓦灰 #867E76；辅色：524-夜灰 #847C74 | 526-深灰 #81776E；点缀色：711-湘蓝 #4A76A8 | 565-绀碧 #4B6C8C,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
524,夜灰,#847C74,30,6,49,中性色,中性,523-瓦灰 #867E76 | 526-深灰 #81776E | 525-雁灰 #80766E,523-瓦灰 #867E76 | 526-深灰 #81776E | 525-雁灰 #80766E,544-烟青 #708090 | 565-绀碧 #4B6C8C | 711-湘蓝 #4A76A8,448-虾壳青 #869D9D | 355-螺甸紫 #74759B | 357-野菊紫 #525288 | 453-夏云灰 #617172,467-淡绿灰 #70887D | 480-淡绿 #61AC85 | 481-葱绿 #40A070 | 478-田园绿 #68B88E,544-烟青 #708090 | 692-檀香紫 #8A6E8B | 565-绀碧 #4B6C8C | 534-烟紫 #704A70,243-满江红 #A7535A | 338-扁豆紫 #A35C8F | 558-烟褐 #8B6D5C,141-淡银灰 #C1B2A3 | 356-玛瑙灰 #CFCCC9 | 521-铅灰 #BBB5AC,073-鹤灰 #4A4035 | 093-松鼠灰 #4F4032 | 074-淡松烟 #4D4030,523-瓦灰 #867E76 | 526-深灰 #81776E | 525-雁灰 #80766E,523-瓦灰 #867E76 | 526-深灰 #81776E | 525-雁灰 #80766E,524-夜灰 #847C74,523-瓦灰 #867E76 | 526-深灰 #81776E,711-湘蓝 #4A76A8 | 565-绀碧 #4B6C8C,主色：524-夜灰 #847C74；辅色：523-瓦灰 #867E76 | 526-深灰 #81776E；点缀色：711-湘蓝 #4A76A8 | 565-绀碧 #4B6C8C,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
525,雁灰,#80766E,27,8,47,中性色,中性,526-深灰 #81776E | 524-夜灰 #847C74 | 523-瓦灰 #867E76,526-深灰 #81776E | 524-夜灰 #847C74 | 523-瓦灰 #867E76,402-蝶翅蓝 #4E7CA1 | 544-烟青 #708090 | 539-青霜 #4682B4,354-山梗紫 #61649F | 355-螺甸紫 #74759B | 527-蓝翠竹 #4B8F8C | 448-虾壳青 #869D9D,487-蛋白石绿 #579572 | 467-淡绿灰 #70887D | 605-黛绿 #3B7A57 | 537-翠微 #3CB371,692-檀香紫 #8A6E8B | 402-蝶翅蓝 #4E7CA1 | 544-烟青 #708090 | 539-青霜 #4682B4,558-烟褐 #8B6D5C | 673-复方甘草 #8B6E4F | 487-蛋白石绿 #579572,141-淡银灰 #C1B2A3 | 521-铅灰 #BBB5AC | 158-蛛网灰 #B7A091,093-松鼠灰 #4F4032 | 073-鹤灰 #4A4035 | 473-长石灰 #363433,526-深灰 #81776E | 524-夜灰 #847C74 | 523-瓦灰 #867E76,526-深灰 #81776E | 417-嫩灰 #74787A | 452-垩灰 #737C7B,525-雁灰 #80766E,526-深灰 #81776E | 524-夜灰 #847C74,539-青霜 #4682B4 | 402-蝶翅蓝 #4E7CA1,主色：525-雁灰 #80766E；辅色：526-深灰 #81776E | 524-夜灰 #847C74；点缀色：539-青霜 #4682B4 | 402-蝶翅蓝 #4E7CA1,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
